come_on_first | 2018-06-08 13:23:36,984 | INFO | 9576:7616 | initializer.py | 23 | <module> | mysql://None:None@None:None/None?charset=utf8
come_on_first | 2018-06-08 13:23:39,690 | INFO | 4300:11292 | initializer.py | 23 | <module> | mysql://None:None@None:None/None?charset=utf8
come_on_first | 2018-06-08 13:23:40,328 | INFO | 8248:11092 | initializer.py | 23 | <module> | mysql://None:None@None:None/None?charset=utf8
come_on_first | 2018-06-08 13:27:24,411 | INFO | 11100:11844 | initializer.py | 23 | <module> | mysql://None:None@None:None/None?charset=utf8
come_on_first | 2018-06-08 13:28:55,795 | INFO | 8588:12720 | initializer.py | 23 | <module> | mysql://None:None@None:None/None?charset=utf8
come_on_first | 2018-06-08 13:28:56,319 | INFO | 9444:1368 | initializer.py | 23 | <module> | mysql://None:None@None:None/None?charset=utf8
come_on_first | 2018-06-08 18:02:55,039 | INFO | 27454:139819526805248 | initializer.py | 23 | <module> | mysql://None:None@None:None/None?charset=utf8
come_on_first | 2018-06-08 18:02:55,348 | INFO | 27457:140567604975360 | initializer.py | 23 | <module> | mysql://None:None@None:None/None?charset=utf8
come_on_first | 2018-06-12 17:43:46,148 | INFO | 9928:140205289293568 | article.py | 42 | get_article | [('/usr/local/python2.7/lib/python2.7/threading.py', 774, '__bootstrap', 'self.__bootstrap_inner()'), ('/usr/local/python2.7/lib/python2.7/threading.py', 801, '__bootstrap_inner', 'self.run()'), ('/usr/local/python2.7/lib/python2.7/threading.py', 754, 'run', 'self.__target(*self.__args, **self.__kwargs)'), ('/usr/local/python2.7/lib/python2.7/site-packages/werkzeug/serving.py', 777, 'inner', 'srv.serve_forever()'), ('/usr/local/python2.7/lib/python2.7/site-packages/werkzeug/serving.py', 612, 'serve_forever', 'HTTPServer.serve_forever(self)'), ('/usr/local/python2.7/lib/python2.7/SocketServer.py', 238, 'serve_forever', 'self._handle_request_noblock()'), ('/usr/local/python2.7/lib/python2.7/SocketServer.py', 295, '_handle_request_noblock', 'self.process_request(request, client_address)'), ('/usr/local/python2.7/lib/python2.7/SocketServer.py', 321, 'process_request', 'self.finish_request(request, client_address)'), ('/usr/local/python2.7/lib/python2.7/SocketServer.py', 334, 'finish_request', 'self.RequestHandlerClass(request, client_address, self)'), ('/usr/local/python2.7/lib/python2.7/SocketServer.py', 655, '__init__', 'self.handle()'), ('/usr/local/python2.7/lib/python2.7/site-packages/werkzeug/serving.py', 293, 'handle', 'rv = BaseHTTPRequestHandler.handle(self)'), ('/usr/local/python2.7/lib/python2.7/BaseHTTPServer.py', 340, 'handle', 'self.handle_one_request()'), ('/usr/local/python2.7/lib/python2.7/site-packages/werkzeug/serving.py', 328, 'handle_one_request', 'return self.run_wsgi()'), ('/usr/local/python2.7/lib/python2.7/site-packages/werkzeug/serving.py', 270, 'run_wsgi', 'execute(self.server.app)'), ('/usr/local/python2.7/lib/python2.7/site-packages/werkzeug/serving.py', 260, 'execute', 'for data in application_iter:'), ('/usr/local/python2.7/lib/python2.7/site-packages/werkzeug/debug/__init__.py', 288, 'debug_application', 'app_iter = self.app(environ, start_response)'), ('/usr/local/python2.7/lib/python2.7/site-packages/flask/app.py', 1997, '__call__', 'return self.wsgi_app(environ, start_response)'), ('/usr/local/python2.7/lib/python2.7/site-packages/flask/app.py', 1982, 'wsgi_app', 'response = self.full_dispatch_request()'), ('/usr/local/python2.7/lib/python2.7/site-packages/flask/app.py', 1612, 'full_dispatch_request', 'rv = self.dispatch_request()'), ('/usr/local/python2.7/lib/python2.7/site-packages/flask/app.py', 1598, 'dispatch_request', 'return self.view_functions[rule.endpoint](**req.view_args)'), ('/home/ly_me/code/02flask_study/come_on_fisrt/view/interface_view/article.py', 42, 'get_article', 'logger.info(traceback.extract_stack())')]
come_on_first | 2018-06-12 17:43:55,650 | INFO | 9928:140205289293568 | article.py | 42 | get_article | [('/usr/local/python2.7/lib/python2.7/threading.py', 774, '__bootstrap', 'self.__bootstrap_inner()'), ('/usr/local/python2.7/lib/python2.7/threading.py', 801, '__bootstrap_inner', 'self.run()'), ('/usr/local/python2.7/lib/python2.7/threading.py', 754, 'run', 'self.__target(*self.__args, **self.__kwargs)'), ('/usr/local/python2.7/lib/python2.7/site-packages/werkzeug/serving.py', 777, 'inner', 'srv.serve_forever()'), ('/usr/local/python2.7/lib/python2.7/site-packages/werkzeug/serving.py', 612, 'serve_forever', 'HTTPServer.serve_forever(self)'), ('/usr/local/python2.7/lib/python2.7/SocketServer.py', 238, 'serve_forever', 'self._handle_request_noblock()'), ('/usr/local/python2.7/lib/python2.7/SocketServer.py', 295, '_handle_request_noblock', 'self.process_request(request, client_address)'), ('/usr/local/python2.7/lib/python2.7/SocketServer.py', 321, 'process_request', 'self.finish_request(request, client_address)'), ('/usr/local/python2.7/lib/python2.7/SocketServer.py', 334, 'finish_request', 'self.RequestHandlerClass(request, client_address, self)'), ('/usr/local/python2.7/lib/python2.7/SocketServer.py', 655, '__init__', 'self.handle()'), ('/usr/local/python2.7/lib/python2.7/site-packages/werkzeug/serving.py', 293, 'handle', 'rv = BaseHTTPRequestHandler.handle(self)'), ('/usr/local/python2.7/lib/python2.7/BaseHTTPServer.py', 340, 'handle', 'self.handle_one_request()'), ('/usr/local/python2.7/lib/python2.7/site-packages/werkzeug/serving.py', 328, 'handle_one_request', 'return self.run_wsgi()'), ('/usr/local/python2.7/lib/python2.7/site-packages/werkzeug/serving.py', 270, 'run_wsgi', 'execute(self.server.app)'), ('/usr/local/python2.7/lib/python2.7/site-packages/werkzeug/serving.py', 260, 'execute', 'for data in application_iter:'), ('/usr/local/python2.7/lib/python2.7/site-packages/werkzeug/debug/__init__.py', 288, 'debug_application', 'app_iter = self.app(environ, start_response)'), ('/usr/local/python2.7/lib/python2.7/site-packages/flask/app.py', 1997, '__call__', 'return self.wsgi_app(environ, start_response)'), ('/usr/local/python2.7/lib/python2.7/site-packages/flask/app.py', 1982, 'wsgi_app', 'response = self.full_dispatch_request()'), ('/usr/local/python2.7/lib/python2.7/site-packages/flask/app.py', 1612, 'full_dispatch_request', 'rv = self.dispatch_request()'), ('/usr/local/python2.7/lib/python2.7/site-packages/flask/app.py', 1598, 'dispatch_request', 'return self.view_functions[rule.endpoint](**req.view_args)'), ('/home/ly_me/code/02flask_study/come_on_fisrt/view/interface_view/article.py', 42, 'get_article', 'logger.info(traceback.extract_stack())')]
come_on_first | 2018-06-12 17:46:00,174 | INFO | 9994:140305650874112 | article.py | 40 | get_article | [('/usr/local/python2.7/lib/python2.7/threading.py', 774, '__bootstrap', 'self.__bootstrap_inner()'), ('/usr/local/python2.7/lib/python2.7/threading.py', 801, '__bootstrap_inner', 'self.run()'), ('/usr/local/python2.7/lib/python2.7/threading.py', 754, 'run', 'self.__target(*self.__args, **self.__kwargs)'), ('/usr/local/python2.7/lib/python2.7/site-packages/werkzeug/serving.py', 777, 'inner', 'srv.serve_forever()'), ('/usr/local/python2.7/lib/python2.7/site-packages/werkzeug/serving.py', 612, 'serve_forever', 'HTTPServer.serve_forever(self)'), ('/usr/local/python2.7/lib/python2.7/SocketServer.py', 238, 'serve_forever', 'self._handle_request_noblock()'), ('/usr/local/python2.7/lib/python2.7/SocketServer.py', 295, '_handle_request_noblock', 'self.process_request(request, client_address)'), ('/usr/local/python2.7/lib/python2.7/SocketServer.py', 321, 'process_request', 'self.finish_request(request, client_address)'), ('/usr/local/python2.7/lib/python2.7/SocketServer.py', 334, 'finish_request', 'self.RequestHandlerClass(request, client_address, self)'), ('/usr/local/python2.7/lib/python2.7/SocketServer.py', 655, '__init__', 'self.handle()'), ('/usr/local/python2.7/lib/python2.7/site-packages/werkzeug/serving.py', 293, 'handle', 'rv = BaseHTTPRequestHandler.handle(self)'), ('/usr/local/python2.7/lib/python2.7/BaseHTTPServer.py', 340, 'handle', 'self.handle_one_request()'), ('/usr/local/python2.7/lib/python2.7/site-packages/werkzeug/serving.py', 328, 'handle_one_request', 'return self.run_wsgi()'), ('/usr/local/python2.7/lib/python2.7/site-packages/werkzeug/serving.py', 270, 'run_wsgi', 'execute(self.server.app)'), ('/usr/local/python2.7/lib/python2.7/site-packages/werkzeug/serving.py', 260, 'execute', 'for data in application_iter:'), ('/usr/local/python2.7/lib/python2.7/site-packages/werkzeug/debug/__init__.py', 288, 'debug_application', 'app_iter = self.app(environ, start_response)'), ('/usr/local/python2.7/lib/python2.7/site-packages/flask/app.py', 1997, '__call__', 'return self.wsgi_app(environ, start_response)'), ('/usr/local/python2.7/lib/python2.7/site-packages/flask/app.py', 1982, 'wsgi_app', 'response = self.full_dispatch_request()'), ('/usr/local/python2.7/lib/python2.7/site-packages/flask/app.py', 1612, 'full_dispatch_request', 'rv = self.dispatch_request()'), ('/usr/local/python2.7/lib/python2.7/site-packages/flask/app.py', 1598, 'dispatch_request', 'return self.view_functions[rule.endpoint](**req.view_args)'), ('/home/ly_me/code/02flask_study/come_on_fisrt/view/interface_view/article.py', 40, 'get_article', 'logger.info(traceback.extract_stack())')]
